Id,Diagram category,C,T,P
5,Descriptor,4,384.71,3
5,Adhoc,3,211.12,4
6,Descriptor,3,168.58,3
6,Adhoc,2,87.79,3
7,Descriptor,2,188.44,2
7,Adhoc,2,171.88,3
8,Descriptor,4,291.79,3
8,Adhoc,4,590.74,2
9,Descriptor,3,358.64,3
9,Adhoc,3,206.71,3
10,Descriptor,3,1114.71,5
10,Adhoc,2,1776.69,3
12,Descriptor,4,280.59,3
12,Adhoc,2,293.66,5
13,Descriptor,3,581.85,4
13,Adhoc,2,209.78,4
14,Descriptor,2,184,4
14,Adhoc,3,221.75,4
15,Descriptor,2,645.47,4
15,Adhoc,2,830.0,3
16,Descriptor,4,350.34,3
16,Adhoc,3,310.95,3
17,Descriptor,4,208.38,5
17,Adhoc,2,200.35,4
18,Descriptor,3,198.6,4
18,Adhoc,3,336.88,4
19,Descriptor,2,490,3
19,Adhoc,3,263,3
20,Descriptor,4,299.12,4
20,Adhoc,2,242.02,4
21,Descriptor,3,393.97,2
21,Adhoc,2,257.46,4
22,Descriptor,3,688.29,4
22,Adhoc,4,263.36,5
23,Descriptor,3,265.85,4
23,Adhoc,2,391.9,4
24,Descriptor,3,220.78,4
24,Adhoc,3,659.47,2
25,Descriptor,3,186.58,1
25,Adhoc,3,130.93,3
27,Descriptor,2,162,4
27,Adhoc,3,163.48,2
28,Descriptor,2,291.64,4
28,Adhoc,2,439.92,4
29,Descriptor,3,146.54,2
29,Adhoc,3,105.41,3
31,Descriptor,2,293.87,5
31,Adhoc,3,256.16,5
32,Descriptor,2,449.23,4
32,Adhoc,2,984.69,3
33,Descriptor,2,567.55,4
33,Adhoc,3,312.4,4